date,region,category,product,quantity,price,revenue
2025-01-05,North,Electronics,Phone,12,699.00,8388.00
2025-01-06,South,Electronics,Laptop,5,1299.00,6495.00
2025-01-07,West,Home,Vacuum,8,199.00,1592.00
2025-01-08,East,Grocery,Coffee Beans,25,12.50,312.50
2025-01-09,North,Home,Air Purifier,3,249.00,747.00
2025-01-10,South,Electronics,Headphones,18,149.00,2682.00
2025-01-11,West,Grocery,Olive Oil,14,9.99,139.86
2025-01-12,East,Home,Blender,6,89.00,534.00
2025-01-13,North,Electronics,Tablet,7,499.00,3493.00
2025-01-14,South,Grocery,Almonds,20,7.50,150.00
2025-01-15,West,Home,Desk Lamp,11,39.00,429.00
2025-01-16,East,Electronics,Smart Watch,9,229.00,2061.00
2025-01-17,North,Grocery,Green Tea,30,5.25,157.50
2025-01-18,South,Home,Toaster,10,49.00,490.00
2025-01-19,West,Electronics,Camera,4,899.00,3596.00
2025-01-20,East,Grocery,Pasta,26,2.25,58.50
2025-01-21,North,Home,Office Chair,2,179.00,358.00
2025-01-22,South,Electronics,Monitor,6,279.00,1674.00
2025-01-23,West,Grocery,Dark Chocolate,16,3.75,60.00
2025-01-24,East,Home,Kettle,9,34.00,306.00
